Date,Price,Open,High,Low,Vol.,Change %
20-Apr-20,69.23,69.49,70.42,69.21,130.02M,-2.08%
17-Apr-20,70.7,71.17,71.74,69.21,215.25M,-1.36%
16-Apr-20,71.67,71.85,72.05,70.59,157.12M,0.79%
15-Apr-20,71.11,70.6,71.58,70.16,131.16M,-0.91%
14-Apr-20,71.76,70,72.06,69.51,195.00M,5.05%
13-Apr-20,68.31,67.08,68.43,66.46,131.02M,1.96%
09-Apr-20,67,67.18,67.52,66.18,162.12M,0.72%
08-Apr-20,66.52,65.68,66.84,65.31,168.90M,2.56%
07-Apr-20,64.86,67.7,67.93,64.75,202.89M,-1.16%
06-Apr-20,65.62,62.72,65.78,62.35,201.82M,8.72%
03-Apr-20,60.35,60.7,61.42,59.74,129.88M,-1.44%
02-Apr-20,61.23,60.08,61.29,59.22,165.93M,1.67%
01-Apr-20,60.23,61.63,62.18,59.78,176.22M,-5.26%
31-Mar-20,63.57,63.9,65.62,63,197.00M,-0.20%
30-Mar-20,63.7,62.69,63.88,62.35,167.98M,2.85%
27-Mar-20,61.94,63.19,63.97,61.76,204.22M,-4.14%
26-Mar-20,64.61,61.63,64.67,61.59,252.56M,5.26%
25-Mar-20,61.38,62.69,64.56,61.08,303.60M,-0.55%
24-Mar-20,61.72,59.09,61.92,58.58,287.53M,10.03%
23-Mar-20,56.09,57.02,57.12,53.15,336.75M,-2.12%
20-Mar-20,57.31,61.79,62.96,57,401.69M,-6.35%
19-Mar-20,61.19,61.85,63.21,60.65,271.86M,-0.77%
18-Mar-20,61.67,59.94,62.5,59.28,300.23M,-2.45%
17-Mar-20,63.22,61.88,64.4,59.6,324.06M,4.40%
16-Mar-20,60.55,60.49,64.77,60,322.42M,-12.86%
13-Mar-20,69.49,66.22,69.98,63.24,370.73M,11.98%
12-Mar-20,62.06,63.99,67.5,62,418.47M,-9.88%
11-Mar-20,68.86,69.35,70.31,67.96,256.38M,-3.47%
10-Mar-20,71.33,69.29,71.61,67.34,285.29M,7.20%
09-Mar-20,66.54,65.94,69.52,65.75,286.74M,-7.91%
06-Mar-20,72.26,70.5,72.71,70.31,226.18M,-1.33%
05-Mar-20,73.23,73.88,74.89,72.85,187.57M,-3.24%
